,Unnamed: 0,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
257,58,Cucurella,163,23,4,40815,4,"[False, False, False, False, False, False]","[0.72154266, 0.47712812, 0.5317456, 0.8397237, 0.8793972, 0.70858526]","[0.27254307, 0.32606146, 0.4642022, 0.08296618, 0.07546932, 0.28066015]","[0.0059142904, 0.19681038, 0.004052215, 0.07731012, 0.045133453, 0.010754601]",4.158122569322586,1.5019023790955544,0.3399750613607466,0.69302034,0.25031707,0.05666251,1,5,0
258,59,Dewsbury-Hall,166,23,0,1544,1,"[False, False]","[0.9348395, 0.70858526]","[0.057068285, 0.28066015]","[0.008092243, 0.010754601]",1.6434247493743896,0.3377284370362758,0.0188468443229794,0.8217124,0.16886422,0.009423422,0,2,0
259,60,Palmer,182,23,393,109319,50,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.50588, 0.80353177, 0.7694409, 0.8369374, 0.7442951, 0.88103193, 0.9597609, 0.80599904, 0.578184, 0.6264011, 0.745252, 0.8979866, 0.4915188, 0.9248504, 0.61475474, 0.57680845, 0.5156946, 0.92957735, 0.6461427]","[0.33730507, 0.15175308, 0.14781727, 0.15807159, 0.2353945, 0.11428578, 0.038591824, 0.18293463, 0.2216538, 0.32326397, 0.21844782, 0.09711156, 0.4752344, 0.055632677, 0.29097995, 0.38647285, 0.42538986, 0.063539214, 0.30593845]","[0.15681495, 0.044715215, 0.0827418, 0.0049909893, 0.020310411, 0.0046823034, 0.0016472207, 0.01106628, 0.20016223, 0.05033494, 0.036300138, 0.004901861, 0.033246838, 0.01951689, 0.09426532, 0.03671874, 0.058915537, 0.006883443, 0.047918845]",13.854047894477844,4.2298182882368565,0.9161339497659357,0.7291604,0.22262202,0.048217576,5,8,6
260,61,Lavia,174,22,1253,577432,35,"[False, False, False, False, False, False, False, False, False, False, False]","[0.56562126, 0.56562126, 0.95389086, 0.8638967, 0.9522441, 0.86563754, 0.9450909, 0.5686598, 0.72982186, 0.7416381, 0.6226701]","[0.42331788, 0.42331788, 0.023995735, 0.13019085, 0.031872373, 0.09188291, 0.031661592, 0.42018712, 0.24908346, 0.24301551, 0.36449704]","[0.0110608265, 0.0110608265, 0.022113353, 0.0059124515, 0.015883515, 0.04247954, 0.023247432, 0.011153093, 0.021094643, 0.015346424, 0.012832818]",8.374792516231537,2.43302233889699,0.1921849218197167,0.76134473,0.22118384,0.017471358,0,10,1
261,62,Sánchez,185,22,150,35619,26,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.7034389, 0.8629318, 0.5510228, 0.7456038, 0.9095346, 0.8746858, 0.9338398, 0.63974065, 0.89583635, 0.71501034, 0.5346859, 0.84901047, 0.8148205, 0.7686811, 0.7431532]","[0.28483817, 0.12717056, 0.41623667, 0.24704173, 0.07939799, 0.12280458, 0.053408824, 0.33613333, 0.09894839, 0.2739711, 0.4332704, 0.07715032, 0.18042672, 0.12610316, 0.21887283]","[0.011722962, 0.00989768, 0.032740526, 0.0073544425, 0.011067492, 0.0025096291, 0.012751435, 0.024126008, 0.0052152905, 0.011018546, 0.032043733, 0.0738392, 0.004752742, 0.10521572, 0.03797402]",11.54199606180191,3.0757747888565063,0.382229428505525,0.76946646,0.20505165,0.025481964,4,8,3
262,63,Madueke,177,22,145,40640,7,"[False, False, False, False, False]","[0.7665249, 0.8418492, 0.93341124, 0.901195, 0.7690598]","[0.22880371, 0.09970299, 0.054901842, 0.09564956, 0.13144997]","[0.004671337, 0.05844776, 0.011686944, 0.0031554617, 0.09949023]",4.2120401263237,0.6105080731213093,0.1774517355952412,0.842408,0.12210162,0.035490345,2,3,0
263,64,Jackson,180,22,438,18077,45,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.511836, 0.67762613, 0.8878339, 0.94249797, 0.93265957, 0.944327, 0.814642, 0.8880734, 0.92905504, 0.6258016, 0.94337875, 0.9211186, 0.57620955, 0.5451856, 0.91406876, 0.9240527, 0.9224908, 0.91137666, 0.9308465]","[0.46585923, 0.31815323, 0.058503635, 0.04571433, 0.04876057, 0.05343106, 0.1825765, 0.08601044, 0.06819029, 0.36464623, 0.04202713, 0.07420252, 0.4096633, 0.3942419, 0.076222695, 0.07338239, 0.07244615, 0.08528858, 0.058237854]","[0.022304742, 0.00422064, 0.05366244, 0.011787702, 0.01857984, 0.0022419745, 0.0027815248, 0.025916133, 0.0027546147, 0.009552218, 0.014594095, 0.0046788543, 0.014127156, 0.060572427, 0.009708613, 0.002564898, 0.0050630313, 0.0033347437, 0.01091573]",15.74308055639267,2.9775580428540707,0.2793613791000098,0.82858324,0.15671358,0.01470323,8,10,1
264,65,Cucurella,163,22,4,6554,5,"[False, False, False]","[0.5570205, 0.6350845, 0.7690598]","[0.43885294, 0.36172137, 0.13144997]","[0.0041265655, 0.0031941512, 0.09949023]",1.9611647725105288,0.9320242702960968,0.1068109495099634,0.65372163,0.31067476,0.03560365,1,2,0
265,66,Sancho,386,22,1,5344,0,"[False, False]","[0.73241705, 0.7690598]","[0.25644794, 0.13144997]","[0.011135058, 0.09949023]",1.5014768242836,0.3878979086875915,0.1106252903118729,0.7507384,0.19394895,0.055312645,0,1,1
266,67,Enzo,168,22,82,25496,12,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.9580519, 0.94337875, 0.7855987, 0.7556535, 0.64814425, 0.7713662, 0.50818706, 0.9345983, 0.90491056, 0.6719073, 0.51930785, 0.73203033, 0.84151983, 0.88543326, 0.46804073, 0.56562126, 0.5654236, 0.6761078, 0.6481268]","[0.035986368, 0.04202713, 0.20151556, 0.13349424, 0.3097853, 0.22156152, 0.4824429, 0.042550758, 0.085761, 0.27011397, 0.44396973, 0.25055602, 0.15568133, 0.064595975, 0.46662164, 0.42331788, 0.3948577, 0.17051837, 0.3347489]","[0.0059616906, 0.014594095, 0.012885734, 0.11085225, 0.04207042, 0.007072252, 0.0093700485, 0.022850918, 0.009328398, 0.057978746, 0.03672241, 0.017413605, 0.002798788, 0.049970787, 0.06533761, 0.0110608265, 0.03971868, 0.15337376, 0.017124332]",13.783408015966415,4.530106279999018,0.686485355021432,0.72544247,0.23842664,0.036130812,6,9,4
