,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
17,Strand Larsen,566,7,2,103,0,[False],[0.58190876],[0.3938463],[0.02424495],0.5819087624549866,0.3938463032245636,0.024244949221611023,0.58190876,0.3938463,0.02424495,1,0,0
18,André,642,7,10,8457,0,[False],[0.9312826],[0.06369634],[0.005021133],0.9312825798988342,0.06369633972644806,0.005021132994443178,0.9312826,0.06369634,0.005021133,0,0,1
19,Mosquera,558,6,32,86585,4,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.5553696, 0.68664134, 0.82815003, 0.7993261, 0.70258623, 0.56827044, 0.7969499, 0.94460946, 0.4979055, 0.9306623, 0.61434096, 0.79125994, 0.77428263, 0.79677975, 0.74988526, 0.83385336, 0.57380146, 0.5543626, 0.9136045]","[0.43722847, 0.30175927, 0.15244529, 0.14118539, 0.29113445, 0.4171431, 0.18888183, 0.05012773, 0.48638058, 0.064463735, 0.37828404, 0.20216967, 0.2200361, 0.18736854, 0.23753858, 0.146934, 0.36495063, 0.43185502, 0.077880524]","[0.0074018915, 0.01159939, 0.019404745, 0.059488516, 0.006279309, 0.014586418, 0.014168173, 0.005262815, 0.015713895, 0.0048739845, 0.0073750755, 0.0065703904, 0.005681257, 0.015851744, 0.012576221, 0.019212652, 0.06124792, 0.013782407, 0.008514902]",13.912641406059265,4.777766950428486,0.30959170311689377,0.7322443,0.25146142,0.0162943,2,9,8
20,Aït-Nouri,533,6,32,12482,11,"[False, False, False, False, False]","[0.9585941, 0.53898513, 0.79211724, 0.83466667, 0.86883]","[0.03858709, 0.42318973, 0.17112704, 0.08799579, 0.1214651]","[0.0028188513, 0.03782512, 0.036755685, 0.07733751, 0.0097048925]",3.9931931495666504,0.8423647470772266,0.1644420581869781,0.79863864,0.16847295,0.032888412,2,3,0
21,Cunha,541,6,377,11670,13,"[False, False, False, False, False, False]","[0.82891005, 0.9862895, 0.5319446, 0.91677874, 0.8890986, 0.8266795]","[0.16634746, 0.010230789, 0.44664806, 0.04417662, 0.06047444, 0.16825604]","[0.0047424217, 0.0034797422, 0.021407325, 0.039044667, 0.05042698, 0.0050645107]",4.979700982570648,0.8961334135383368,0.12416564510203898,0.82995015,0.14935558,0.020694274,2,3,1
22,Strand Larsen,566,6,1,184,1,[False],[0.55284786],[0.3847817],[0.062370483],0.5528478622436523,0.38478168845176697,0.062370482832193375,0.55284786,0.3847817,0.062370483,0,1,0
23,Gomes,553,6,0,1563,0,[False],[0.87620366],[0.095602795],[0.028193537],0.8762036561965942,0.09560279548168182,0.028193537145853043,0.87620366,0.095602795,0.028193537,0,1,0
24,André,642,6,5,417,1,"[False, False, False]","[0.8583766, 0.52444714, 0.93957436]","[0.11936208, 0.26366618, 0.055723466]","[0.02226133, 0.21188664, 0.0047022705]",2.3223981261253357,0.4387517273426056,0.2388502457179129,0.7741327,0.14625058,0.07961675,1,2,0
25,Mosquera,558,5,0,71806,2,"[False, False, False, False]","[0.93127805, 0.92402536, 0.86028516, 0.8673627]","[0.054122683, 0.048545454, 0.132971, 0.12530181]","[0.014599245, 0.027429186, 0.0067438385, 0.0073355967]",3.582951247692108,0.36094094812870026,0.0561078661121428,0.8957378,0.09023523,0.014026966,0,4,0
26,Aït-Nouri,533,5,3,107698,4,"[False, False, False, False]","[0.9151886, 0.9397618, 0.70456606, 0.816706]","[0.07532275, 0.03348688, 0.28223255, 0.17459023]","[0.009488634, 0.026751304, 0.013201431, 0.008703823]",3.3762224912643433,0.5656324103474617,0.058145192451775074,0.8440556,0.1414081,0.014536298,0,3,1
27,Semedo,559,5,0,34340,0,[False],[0.9279631],[0.040348355],[0.03168861],0.9279630780220032,0.0403483547270298,0.03168860822916031,0.9279631,0.040348355,0.03168861,0,1,0
28,Cunha,541,5,0,111,1,[False],[0.95356333],[0.03047908],[0.015957655],0.9535633325576782,0.030479079112410545,0.015957655385136604,0.95356333,0.03047908,0.015957655,0,1,0
29,Lemina,557,5,0,34340,2,[False],[0.9426977],[0.030868817],[0.026433352],0.9426977038383484,0.03086881712079048,0.026433352380990982,0.9426977,0.030868817,0.026433352,0,1,0
30,Strand Larsen,566,5,6,1944,3,"[False, False, False, False]","[0.66025686, 0.95356333, 0.509109, 0.7092739]","[0.18851851, 0.03047908, 0.32808974, 0.145615]","[0.1512247, 0.015957655, 0.16280125, 0.14511113]",2.8322030901908875,0.6927023287862539,0.47509473748505116,0.7080507,0.17317557,0.118773684,1,3,0
31,Gomes,553,5,0,34340,2,[False],[0.9431272],[0.03338306],[0.023489805],0.9431272149085999,0.03338306024670601,0.023489804938435555,0.9431272,0.03338306,0.023489805,0,1,0
32,Dawson,542,5,0,34340,0,[False],[0.8759219],[0.118297175],[0.0057809437],0.875921905040741,0.11829717457294464,0.0057809436693787575,0.8759219,0.118297175,0.0057809437,0,1,0
33,André,642,5,0,34340,0,[False],[0.91485196],[0.077760786],[0.007387248],0.91485196352005,0.07776078581809998,0.007387247867882252,0.91485196,0.077760786,0.007387248,0,1,0
