,Unnamed: 0,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
49,49,Aït-Nouri,545,35,300,417562,39,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.7625097, 0.7150274, 0.72936153, 0.70335495, 0.9510113, 0.5678251, 0.73150206, 0.76455617, 0.9229592, 0.90913856, 0.9347134, 0.93908936, 0.7087622, 0.8930778, 0.8711674, 0.7745934, 0.94583696, 0.93206996, 0.7746252, 0.9162103]","[0.23119193, 0.24496244, 0.26420018, 0.2909213, 0.045804854, 0.289725, 0.25133187, 0.180063, 0.07231631, 0.08628136, 0.06320375, 0.04442021, 0.28576684, 0.077573165, 0.108904056, 0.21265253, 0.04897323, 0.051848706, 0.21241915, 0.077573396]","[0.0062983804, 0.04001013, 0.006438293, 0.0057237186, 0.0031839246, 0.14244995, 0.017166004, 0.05538086, 0.004724451, 0.004580089, 0.0020828308, 0.016490405, 0.0054709464, 0.029348971, 0.019928498, 0.012754052, 0.005189797, 0.01608134, 0.01295569, 0.006216261]",16.447391986846924,3.140133284032345,0.412474584300071,0.8223696,0.15700667,0.02062373,4,13,3
50,50,Sarabia,570,35,249,244970,33,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.8725316, 0.7625097, 0.8026441, 0.7019284, 0.93908936, 0.90913856, 0.9347134, 0.59342426, 0.7087622, 0.74758667, 0.92816126, 0.49021068, 0.47641405, 0.9162103, 0.58353835]","[0.11635402, 0.23119193, 0.18753272, 0.27246618, 0.04442021, 0.08628136, 0.06320375, 0.29973656, 0.28576684, 0.22127332, 0.0664091, 0.4665438, 0.47516397, 0.077573396, 0.2984007]","[0.011114373, 0.0062983804, 0.009823205, 0.025605403, 0.016490405, 0.004580089, 0.0020828308, 0.10683916, 0.0054709464, 0.031140016, 0.005429723, 0.04324552, 0.048421986, 0.006216261, 0.11806099]",11.366862893104551,3.1923178546130657,0.4408192886039614,0.7577908,0.21282119,0.02938795,3,9,3
51,51,Semedo,572,35,26,61769,10,"[False, False, False, False, False, False, False, False]","[0.7625097, 0.93976915, 0.854825, 0.7087622, 0.8822928, 0.6113303, 0.9449802, 0.8667319]","[0.23119193, 0.055145167, 0.13095763, 0.28576684, 0.07314506, 0.38476294, 0.038566645, 0.127194]","[0.0062983804, 0.0050856397, 0.01421727, 0.0054709464, 0.04456209, 0.003906831, 0.016453153, 0.006074098]",6.571201264858246,1.3267302252352238,0.1020684079267084,0.82140017,0.16584128,0.012758551,0,8,0
52,52,Kilman,563,35,1,1759,0,[False],[0.77984804],[0.20883313],[0.01131874],0.779848039150238,0.2088331282138824,0.0113187404349446,0.77984804,0.20883313,0.01131874,0,0,1
53,53,Doherty,598,35,4,4163,0,"[False, False]","[0.8806759, 0.7485654]","[0.10598114, 0.2007311]","[0.01334288, 0.050703533]",1.6292412877082825,0.3067122399806976,0.0640464127063751,0.8146206,0.15335612,0.032023206,0,2,0
54,54,Cunha,590,35,209,657644,34,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.49078757, 0.9266876, 0.8725316, 0.7625097, 0.93976915, 0.96269536, 0.90913856, 0.85254854, 0.8352124, 0.7745934, 0.4326733, 0.7087622, 0.96320456, 0.6661445, 0.6438613, 0.58989114, 0.7462789, 0.94022125, 0.6113303]","[0.38320547, 0.03867221, 0.11635402, 0.23119193, 0.055145167, 0.031255156, 0.08628136, 0.133678, 0.1574911, 0.21265253, 0.35342473, 0.28576684, 0.01995436, 0.32959664, 0.29196474, 0.3353039, 0.23781765, 0.031053603, 0.38476294]","[0.12600692, 0.034640253, 0.011114373, 0.0062983804, 0.0050856397, 0.006049443, 0.004580089, 0.013773416, 0.0072964695, 0.012754052, 0.213902, 0.0054709464, 0.01684106, 0.004258927, 0.064173974, 0.07480492, 0.01590355, 0.028725108, 0.003906831]",14.628841310739515,3.715572355315089,0.6555863404646516,0.76993895,0.19555645,0.034504544,3,13,3
55,55,Gomes,559,35,141,801030,12,"[False, False, False, False, False]","[0.7745934, 0.95128596, 0.9495455, 0.6731333, 0.8532389]","[0.21265253, 0.04499974, 0.040378664, 0.3158538, 0.13271259]","[0.012754052, 0.0037142707, 0.010075771, 0.011012856, 0.014048581]",4.201797068119049,0.7465973310172558,0.0516055307816714,0.8403595,0.14931947,0.010321106,0,5,0
56,56,Hee Chan,557,35,5,59523,0,"[False, False]","[0.71343315, 0.8822928]","[0.25451156, 0.07314506]","[0.032055296, 0.04456209]",1.595725953578949,0.327656626701355,0.0766173861920833,0.797863,0.16382831,0.038308695,0,2,0
57,57,Toti,573,34,0,128,0,[False],[0.8125926],[0.18397567],[0.0034317381],0.812592625617981,0.1839756667613983,0.003431738121435,0.8125926,0.18397567,0.0034317381,0,1,0
58,58,Doyle,351,34,1,969,1,[False],[0.96571386],[0.03186873],[0.0024173406],0.9657138586044312,0.0318687297403812,0.0024173406418412,0.96571386,0.03186873,0.0024173406,1,0,0
