,xG_prev_3,xG_prev_5,shots_90_prev_3,xA_90_prev,xA_90_prev_3,xA_90_prev_10,kp_90,mins,mins_prev,mins_prev_3,mins_prev_5,mins_prev_10,was_home,ict_prev,ict_prev_10,transfers_in,transfers_out,average_points,team_xG_scored_prev_3,team_xG_scored_prev_5,team_xG_conceded_prev_3,team_xG_conceded_prev_5,team_xG_conceded_prev_10,prev_3_opp_goals_scored,prev_5_opp_goals_scored,prev_10_opp_goals_scored,prev_opp_goals_conceded,prev_3_opp_goals_conceded,prev_5_opp_goals_conceded,prev_opp_xG_scored,prev_3_opp_xG_scored,prev_10_opp_xG_scored,prev_opp_XG_conceded,prev_3_opp_xG_conceded,prev_5_opp_xG_conceded,prev_10_opp_xG_conceded,avg_opp_goals_scored,avg_opp_goals_conceded,avg_opp_xG_scored,prev_season_goals,prev_season_shots,prev_season_xG,prev_season_mins,total_points,Name,GW,Team,goals,assists,clean_sheet_kept,saves_made,bonus_scored,mins_played,Web Name,Date,fpl_id
44422,0.6338028169014085,0.49125,3.1690140845070425,0.0107142857142857,0.0126760563380281,0.0545454545454545,0.9006928406466512,56.47826086956522,84.0,71.0,60.0,62.333333333333336,0.0,6.107142857142857,6.0,3347,10061,2.347826086956522,1.934905,1.40618525,1.859245,2.1616175,1.543045777777778,2.6666666666666665,2.6,2.3,0.0,0.6666666666666666,0.8,1.58971,1.8483733333333328,2.11844,0.192072,0.849651,0.8097087999999999,1.0247917999999998,2.4347826086956523,1.0869565217391304,2.2124569565217387,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,2,Dominic Calvert-Lewin,24,Everton,0,0,0,0,0,77,Calvert-Lewin,2024-02-10T12:30:00Z,246
44423,0.6804878048780487,0.5959866220735786,1.0975609756097562,0.0,0.0164634146341463,0.0488372093023255,0.8502906976744186,57.333333333333336,77.0,82.0,74.75,71.66666666666667,1.0,0.935064935064935,6.013953488372093,11353,7544,2.333333333333333,3.04599,1.91206525,1.6486805,1.82140775,1.5707442222222223,1.6666666666666667,1.6,1.3,3.0,3.0,3.0,0.719516,0.7069176666666666,1.1337273,1.26948,1.3212856666666666,1.7545674000000002,1.8426647000000005,1.125,1.7916666666666667,1.2306612916666666,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,2,Dominic Calvert-Lewin,25,Everton,0,0,0,0,0,90,Calvert-Lewin,2024-02-19T20:00:00Z,246
44424,0.5366459627329192,0.5821782178217823,1.6770186335403727,0.04,0.0055900621118012,0.0225705329153605,0.859481582537517,58.64,90.0,80.5,75.75,70.88888888888889,0.0,3.8,4.330721003134797,14330,6469,2.32,1.725441,1.830173,1.2560405,1.55764275,1.6034186666666668,3.333333333333333,2.0,1.6,0.0,1.0,1.4,3.35549,2.258083333333333,2.0122284,0.586214,0.978877,1.5421822,1.6239031000000002,1.92,1.6,1.8325157600000004,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,2,Dominic Calvert-Lewin,26,Everton,0,0,1,0,0,67,Calvert-Lewin,2024-02-24T15:00:00Z,246
44425,0.1508982035928144,0.4132930513595166,0.0,0.0,0.0215568862275449,0.0258308157099697,0.821917808219178,58.96153846153846,67.0,83.5,82.75,73.55555555555556,1.0,1.880597014925373,4.336858006042296,10769,7577,2.3076923076923075,1.318976,2.1824829999999995,1.1621975,1.405439,1.5866601111111112,1.3333333333333333,1.0,1.4,2.0,3.333333333333333,2.8,2.06873,0.9266036666666668,1.2830581,1.33683,2.668393333333333,2.021452,1.8951182,1.5384615384615383,1.7692307692307692,1.4271149230769231,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,1,Dominic Calvert-Lewin,27,Everton,0,0,0,0,0,16,Calvert-Lewin,2024-03-02T15:00:00Z,246
44426,0.1261146496815286,0.3339622641509434,1.1464968152866242,0.225,0.0229299363057324,0.0222222222222222,0.8715300193673338,57.37037037037037,16.0,78.5,79.5,72.0,0.0,21.9375,4.208333333333333,2543,14355,2.259259259259259,1.3662675,1.54585425,1.1942425,1.2251415,1.6802562222222222,1.3333333333333333,1.8,1.9,3.0,2.0,1.4,0.153764,1.9012846666666663,1.5850628,2.64173,1.78419,1.836004,1.6863748,1.3703703703703705,1.4444444444444444,1.5764949259259262,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,1,Dominic Calvert-Lewin,28,Everton,0,0,0,0,0,29,Calvert-Lewin,2024-03-09T12:30:00Z,246
44427,0.1843373493975903,0.162,1.0843373493975903,0.0620689655172413,0.0433734939759036,0.0219512195121951,0.8555133079847909,56.35714285714285,29.0,41.5,62.5,63.77777777777778,0.0,6.8275862068965525,4.594076655052264,2444,3704,2.2142857142857144,1.7037025,1.51133925,1.91664,1.5394187499999998,1.747390666666667,2.6666666666666665,2.0,1.4,3.0,1.6666666666666667,1.6,2.84403,2.7355866666666664,1.8560994,2.79419,2.10544,2.099386,1.7695588,1.4642857142857142,1.8571428571428568,1.6990060000000002,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,2,Dominic Calvert-Lewin,30,Everton,0,0,0,0,0,90,Calvert-Lewin,2024-03-30T15:00:00Z,246
44428,0.4599999999999999,0.2004950495049505,4.0,0.13,0.1199999999999999,0.023356401384083,0.8093525179856115,57.51724137931034,90.0,22.5,50.5,64.22222222222223,0.0,4.4,4.858131487889273,1389,2861,2.206896551724138,2.471075,1.91867125,2.54054,1.86739125,1.8161006666666668,3.0,2.4,2.6,3.0,2.0,2.4,3.80922,2.5708683333333333,1.8668887,0.994584,1.0951676666666668,1.5919686,2.2273428,2.1724137931034484,1.7586206896551724,2.116490068965517,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,6,Dominic Calvert-Lewin,31,Everton,1,0,0,0,1,29,Calvert-Lewin,2024-04-02T18:30:00Z,246
44429,0.3025210084033613,0.2539603960396039,1.512605042016807,0.0,0.1134453781512605,0.0393277310924369,0.8485562757807896,56.56666666666667,29.0,59.5,50.5,66.11111111111111,1.0,21.103448275862068,4.477310924369748,21619,2362,2.333333333333333,1.37759,1.54064625,2.1471400000000003,2.03189,1.6769795555555556,2.0,1.2,1.1,2.0,1.6666666666666667,2.0,2.10422,1.89443,1.28259446,4.46643,2.5306,2.288816,2.0897957,1.0333333333333334,2.1666666666666665,1.08263082,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,9,Dominic Calvert-Lewin,32,Everton,1,0,1,0,3,82,Calvert-Lewin,2024-04-06T14:00:00Z,246
44430,0.8621848739495799,0.751829268292683,3.0252100840336134,0.0109756097560975,0.0983193277310924,0.0416370106761565,0.8600337268128162,57.38709677419355,82.0,59.5,41.0,62.44444444444444,0.0,11.19512195121951,5.39679715302491,16321,11789,2.548387096774193,1.31606,1.8935675,2.021385,2.2809625,1.822156222222222,4.0,3.4,2.6,0.0,1.6666666666666667,1.8,3.37093,2.457733,2.1711231,1.21791,1.50914,1.440015,1.9322581,1.967741935483871,1.6774193548387095,2.1199672258064512,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,0,Dominic Calvert-Lewin,33,Everton,0,0,0,0,0,0,Calvert-Lewin,2024-04-15T19:00:00Z,246
44431,1.0702702702702704,0.6730434782608696,0.0,0.0,0.0081081081081081,0.0398936170212766,0.8600337268128162,55.59375,0.0,55.5,57.5,62.66666666666666,1.0,0.0,6.255319148936169,9496,12758,2.46875,1.179092,1.278341,1.49854,1.82284,1.5968228888888891,1.6666666666666667,1.2,1.3,3.0,1.6666666666666667,1.4,2.00122,1.577354,1.4692975,1.61978,1.1879306666666667,0.9904184,1.1984183,1.25,1.75,1.2834100625,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,2,Dominic Calvert-Lewin,34,Everton,0,0,1,0,0,66,Calvert-Lewin,2024-04-21T12:30:00Z,246
